y,u_analytic,u_kraken
1,0.048387096774193554,0.048387096770366254
2,0.046774193548387105,0.046774193540771704
3,0.04516129032258065,0.04516129031125522
4,0.043548387096774194,0.043548387081855086
5,0.041935483870967745,0.04193548385260788
6,0.04032258064516129,0.040322580623549105
7,0.03870967741935484,0.038709677394712094
8,0.03709677419354839,0.037096774166127965
9,0.035483870967741936,0.03548387093782521
10,0.03387096774193549,0.033870967709829315
11,0.03225806451612903,0.03225806448216296
12,0.030645161290322583,0.03064516125484508
13,0.029032258064516127,0.02903225802789131
14,0.027419354838709678,0.027419354801313325
15,0.025806451612903226,0.025806451575119207
16,0.024193548387096777,0.02419354834931265
17,0.022580645161290325,0.0225806451238938
18,0.02096774193548387,0.0209677418988588
19,0.01935483870967742,0.019354838674199584
20,0.017741935483870968,0.01774193544990443
21,0.01612903225806452,0.016129032225957886
22,0.014516129032258063,0.014516129002340701
23,0.012903225806451613,0.012903225779030523
24,0.011290322580645162,0.011290322556001738
25,0.009677419354838714,0.009677419333225894
26,0.008064516129032256,0.008064516110671778
27,0.0064516129032258064,0.006451612888306106
28,0.004838709677419357,0.004838709666093559
29,0.0032258064516129063,0.0032258064439971566
30,0.0016129032258064503,0.0016129032219788949
