label,R_LU,Nx,Nyz,blockage_pct,Re,nu,u_in,steps,Cd,Fx,A_frontal,Vsolid,backend
R16_blk08,16,384,400,8.00,20.0,0.06400,0.0400,40000,3.582296,2.327060,812.0,17256,cuda
R16_blk06,16,256,533,6.00,20.0,0.06400,0.0400,40000,3.380810,2.196174,812.0,17256,cuda
