y,C_analytic,C_kraken
0.5,0.984375,0.9999999999999997
1.5,0.953125,0.9677419354095151
2.5,0.921875,0.9354838708220751
3.5,0.890625,0.9032258062405991
4.5,0.859375,0.8709677416677619
5.5,0.828125,0.8387096771058848
6.5,0.796875,0.8064516125568406
7.5,0.765625,0.7741935480219766
8.5,0.734375,0.7419354835020597
9.5,0.703125,0.7096774189972455
10.5,0.671875,0.6774193545070699
11.5,0.640625,0.6451612900304705
12.5,0.609375,0.6129032255658282
13.5,0.578125,0.580645161111036
14.5,0.546875,0.5483870966635828
15.5,0.515625,0.5161290322206569
16.5,0.484375,0.48387096777926064
17.5,0.453125,0.45161290333633536
18.5,0.421875,0.41935483888888336
19.5,0.390625,0.38709677443409324
20.5,0.359375,0.3548387099694541
21.5,0.328125,0.322580645492858
22.5,0.296875,0.29032258100268665
23.5,0.265625,0.25806451649787693
24.5,0.234375,0.2258064519779657
25.5,0.203125,0.19354838744310793
26.5,0.171875,0.16129032289407058
27.5,0.140625,0.129032258332201
28.5,0.109375,0.09677419375937177
29.5,0.078125,0.06451612917790446
30.5,0.046875,0.032258064590474145
31.5,0.015625,0.0
