y,u_analytic,u_kraken
0.5,0.0007875,0.0007909999972743949
1.5,0.0022875,0.0022909999918493767
2.5,0.0036875000000000002,0.00369099998650277
3.5,0.0049875,0.004990999981286018
4.5,0.0061875,0.006190999976249267
5.5,0.007287500000000001,0.007290999971441236
6.5,0.008287500000000001,0.008290999966908252
7.5,0.0091875,0.009190999962693958
8.5,0.0099875,0.009990999958838936
9.5,0.0106875,0.010690999955380287
10.5,0.011287500000000002,0.011290999952351421
11.5,0.0117875,0.01179099994978129
12.5,0.0121875,0.012190999947694897
13.5,0.0124875,0.012490999946112273
14.5,0.0126875,0.012690999945048685
15.5,0.012787500000000002,0.012790999944514384
16.5,0.0127875,0.012790999944514367
17.5,0.0126875,0.012690999945048662
18.5,0.0124875,0.01249099994611221
19.5,0.0121875,0.012190999947694885
20.5,0.011787500000000001,0.011790999949781335
21.5,0.0112875,0.011290999952351504
22.5,0.0106875,0.01069099995538037
23.5,0.0099875,0.009990999958838953
24.5,0.0091875,0.009190999962693966
25.5,0.0082875,0.008290999966908323
26.5,0.0072875,0.007290999971441274
27.5,0.0061875,0.006190999976249283
28.5,0.004987500000000001,0.004990999981286019
29.5,0.0036875,0.0036909999865027757
30.5,0.0022875,0.002290999991849422
31.5,0.0007875,0.0007909999972744102
