theta_rad,theta_deg,n_cells,dCd_pres,dCd_visc_solvent,dCd_polymer,dCd_total
-3.05433,-175,5,10.0954,0.0451839,0.0156364,10.1563
-2.87979,-165,7,9.47454,0.117469,0.0413671,9.63338
-2.70526,-155,7,8.61315,0.215471,0.0570603,8.88568
-2.53073,-145,7,7.57957,0.367129,0.0650919,8.01179
-2.35619,-135,8,6.31622,0.570686,0.117156,7.00407
-2.18166,-125,7,4.87978,0.800086,0.134933,5.8148
-2.00713,-115,7,3.41536,1.01732,0.191933,4.62461
-1.8326,-105,7,1.91336,1.19113,0.320322,3.42481
-1.65806,-95,5,0.638316,1.25264,0.34656,2.23752
-1.48353,-85,6,-0.44998,1.27954,0.54371,1.37327
-1.309,-75,7,-1.26525,1.16065,0.59579,0.491192
-1.13446,-65,7,-1.76592,0.904404,0.63183,-0.229686
-0.959931,-55,7,-2.07016,0.644598,0.698018,-0.727546
-0.785398,-45,8,-2.31141,0.403342,0.665024,-1.24305
-0.610865,-35,7,-2.30088,0.231041,0.439094,-1.63075
-0.436332,-25,7,-2.13892,0.14393,0.260851,-1.73413
-0.261799,-15,7,-1.62938,0.0930661,0.15693,-1.37939
-0.0872665,-5,5,-0.4483,0.0867551,0.0918723,-0.269672
0.0872665,5,5,-0.448193,0.0868192,0.0923112,-0.269062
0.261799,15,7,-1.62936,0.0928497,0.154807,-1.3817
0.436332,25,7,-2.13704,0.143178,0.258447,-1.73542
0.610865,35,7,-2.30265,0.23151,0.438223,-1.63292
0.785398,45,8,-2.30899,0.403639,0.661728,-1.24362
0.959931,55,7,-2.07037,0.645445,0.69768,-0.727239
1.13446,65,7,-1.76528,0.904897,0.630952,-0.229434
1.309,75,7,-1.26563,1.16277,0.595948,0.493097
1.48353,85,5,-0.539698,1.2754,0.549533,1.28524
1.65806,95,6,0.531787,1.26113,0.373517,2.16644
1.8326,105,7,1.91308,1.19145,0.318262,3.42279
2.00713,115,7,3.41494,1.01816,0.189126,4.62223
2.18166,125,7,4.88082,0.800094,0.135096,5.81601
2.35619,135,8,6.31681,0.570628,0.116878,7.00431
2.53073,145,7,7.57928,0.367117,0.0652263,8.01163
2.70526,155,7,8.61301,0.21572,0.0571689,8.8859
2.87979,165,7,9.47427,0.117335,0.04141,9.63302
3.05433,175,5,10.0947,0.0453305,0.0156415,10.1557
