bin,theta_deg,dCd_pres,dCd_solv,dCd_poly
1,-175.00,1.090995e+01,6.221261e-02,2.238729e-02
2,-165.00,1.026089e+01,1.480716e-01,5.399455e-02
3,-155.00,9.481508e+00,2.861302e-01,6.842958e-02
4,-145.00,8.380857e+00,4.861754e-01,1.079339e-01
5,-135.00,7.057426e+00,6.658224e-01,1.853103e-01
6,-125.00,5.631922e+00,8.745122e-01,2.864906e-01
7,-115.00,3.967540e+00,1.048882e+00,3.885639e-01
8,-105.00,2.269850e+00,1.162847e+00,5.462574e-01
9,-95.00,7.665161e-01,1.162370e+00,8.321011e-01
10,-85.00,-6.013365e-01,1.080679e+00,8.717381e-01
11,-75.00,-1.643216e+00,8.727312e-01,9.153110e-01
12,-65.00,-2.401958e+00,6.138974e-01,8.685090e-01
13,-55.00,-2.894218e+00,4.057415e-01,6.390259e-01
14,-45.00,-3.054851e+00,2.880788e-01,4.226962e-01
15,-35.00,-3.043199e+00,2.072672e-01,2.634334e-01
16,-25.00,-2.667998e+00,1.414212e-01,1.616273e-01
17,-15.00,-1.852594e+00,8.902582e-02,9.136680e-02
18,-5.00,1.843705e-02,7.571661e-02,7.601226e-02
19,5.00,1.843705e-02,7.571661e-02,7.601226e-02
20,15.00,-1.852594e+00,8.902582e-02,9.136680e-02
21,25.00,-2.667998e+00,1.414212e-01,1.616273e-01
22,35.00,-3.043199e+00,2.072672e-01,2.634334e-01
23,45.00,-3.054851e+00,2.880788e-01,4.226962e-01
24,55.00,-2.894218e+00,4.057415e-01,6.390259e-01
25,65.00,-2.401958e+00,6.138974e-01,8.685090e-01
26,75.00,-1.643216e+00,8.727312e-01,9.153110e-01
27,85.00,-6.681517e-01,1.072166e+00,8.567798e-01
28,95.00,6.898645e-01,1.161863e+00,8.495273e-01
29,105.00,2.269850e+00,1.162847e+00,5.462574e-01
30,115.00,3.967540e+00,1.048882e+00,3.885639e-01
31,125.00,5.631922e+00,8.745122e-01,2.864906e-01
32,135.00,7.057426e+00,6.658224e-01,1.853103e-01
33,145.00,8.380857e+00,4.861754e-01,1.079339e-01
34,155.00,9.481508e+00,2.861302e-01,6.842958e-02
35,165.00,1.026089e+01,1.480716e-01,5.399455e-02
36,175.00,1.090995e+01,6.221261e-02,2.238729e-02
