bin,theta_deg,dCd_pres,dCd_solv,dCd_poly
1,-175.00,1.092902e+01,4.643291e-02,1.423037e-02
2,-165.00,1.009183e+01,1.603632e-01,3.028211e-02
3,-155.00,9.174705e+00,2.940245e-01,3.476042e-02
4,-145.00,8.131215e+00,4.645304e-01,4.596813e-02
5,-135.00,6.905147e+00,6.427354e-01,1.931113e-01
6,-125.00,5.445081e+00,8.066921e-01,2.455789e-01
7,-115.00,3.801722e+00,9.993271e-01,2.945884e-01
8,-105.00,2.143390e+00,1.118466e+00,5.657046e-01
9,-95.00,7.195630e-01,1.157327e+00,5.988853e-01
10,-85.00,-5.155900e-01,1.152835e+00,7.646364e-01
11,-75.00,-1.454068e+00,1.016027e+00,7.632352e-01
12,-65.00,-2.026141e+00,7.962536e-01,8.470466e-01
13,-55.00,-2.433418e+00,5.598481e-01,9.609884e-01
14,-45.00,-2.826154e+00,3.320892e-01,7.470637e-01
15,-35.00,-2.719759e+00,1.885670e-01,3.834210e-01
16,-25.00,-2.405783e+00,1.273800e-01,2.112954e-01
17,-15.00,-1.734812e+00,8.082553e-02,1.121632e-01
18,-5.00,-2.357147e-01,9.051154e-02,1.180719e-01
19,5.00,-2.357147e-01,9.051154e-02,1.180719e-01
20,15.00,-1.734812e+00,8.082553e-02,1.121632e-01
21,25.00,-2.405783e+00,1.273800e-01,2.112954e-01
22,35.00,-2.719759e+00,1.885670e-01,3.834210e-01
23,45.00,-2.826154e+00,3.320892e-01,7.470637e-01
24,55.00,-2.433418e+00,5.598481e-01,9.609884e-01
25,65.00,-2.026141e+00,7.962536e-01,8.470466e-01
26,75.00,-1.454068e+00,1.016027e+00,7.632352e-01
27,85.00,-6.187080e-01,1.146043e+00,7.550360e-01
28,95.00,5.996358e-01,1.162239e+00,6.345108e-01
29,105.00,2.143390e+00,1.118466e+00,5.657046e-01
30,115.00,3.801722e+00,9.993271e-01,2.945884e-01
31,125.00,5.445081e+00,8.066921e-01,2.455789e-01
32,135.00,6.905147e+00,6.427354e-01,1.931113e-01
33,145.00,8.131215e+00,4.645304e-01,4.596813e-02
34,155.00,9.174705e+00,2.940245e-01,3.476042e-02
35,165.00,1.009183e+01,1.603632e-01,3.028211e-02
36,175.00,1.092902e+01,4.643291e-02,1.423037e-02
