bin,theta_deg,dCd_pres,dCd_solv,dCd_poly
1,-175.00,1.089983e+01,7.251274e-02,2.740059e-02
2,-165.00,1.027022e+01,1.581492e-01,7.170564e-02
3,-155.00,9.494718e+00,3.124247e-01,1.096815e-01
4,-145.00,8.566561e+00,4.876472e-01,1.759024e-01
5,-135.00,7.240116e+00,6.686210e-01,2.139585e-01
6,-125.00,5.749085e+00,8.736160e-01,3.143400e-01
7,-115.00,3.957290e+00,1.020626e+00,3.627723e-01
8,-105.00,2.261440e+00,1.130189e+00,5.041454e-01
9,-95.00,7.732421e-01,1.141540e+00,7.568666e-01
10,-85.00,-6.333120e-01,1.083254e+00,9.946965e-01
11,-75.00,-1.664627e+00,8.300005e-01,9.874510e-01
12,-65.00,-2.483629e+00,6.278568e-01,8.149568e-01
13,-55.00,-2.968548e+00,3.801813e-01,5.717218e-01
14,-45.00,-3.176191e+00,2.848825e-01,4.003930e-01
15,-35.00,-3.181782e+00,2.136562e-01,2.518342e-01
16,-25.00,-2.832862e+00,1.526622e-01,1.522873e-01
17,-15.00,-1.956375e+00,9.466839e-02,8.889074e-02
18,-5.00,6.869558e-02,7.367478e-02,5.663018e-02
19,5.00,6.869558e-02,7.367478e-02,5.663018e-02
20,15.00,-1.956375e+00,9.466839e-02,8.889074e-02
21,25.00,-2.832862e+00,1.526622e-01,1.522873e-01
22,35.00,-3.181782e+00,2.136562e-01,2.518342e-01
23,45.00,-3.176191e+00,2.848825e-01,4.003930e-01
24,55.00,-2.968548e+00,3.801813e-01,5.717218e-01
25,65.00,-2.483629e+00,6.278568e-01,8.149568e-01
26,75.00,-1.664627e+00,8.300005e-01,9.874510e-01
27,85.00,-6.908858e-01,1.081939e+00,9.925823e-01
28,95.00,7.088052e-01,1.137888e+00,7.786238e-01
29,105.00,2.261440e+00,1.130189e+00,5.041454e-01
30,115.00,3.957290e+00,1.020626e+00,3.627723e-01
31,125.00,5.749085e+00,8.736160e-01,3.143400e-01
32,135.00,7.240116e+00,6.686210e-01,2.139585e-01
33,145.00,8.566561e+00,4.876472e-01,1.759024e-01
34,155.00,9.494718e+00,3.124247e-01,1.096815e-01
35,165.00,1.027022e+01,1.581492e-01,7.170564e-02
36,175.00,1.089983e+01,7.251274e-02,2.740059e-02
