y,ux_centerline
0.0078125,-0.005669027938028867
0.0234375,-0.016526730156430545
0.0390625,-0.026693323931084267
0.0546875,-0.0362685159413085
0.0703125,-0.04534307236597915
0.0859375,-0.05399633961656845
0.1015625,-0.0622982186860844
0.1171875,-0.07030977303537334
0.1328125,-0.07808394910211056
0.1484375,-0.08566606201262664
0.1640625,-0.09309415390818376
0.1796875,-0.100399218241435
0.1953125,-0.10760531137806391
0.2109375,-0.11472956661434208
0.2265625,-0.12178212774969517
0.2421875,-0.1287660205356817
0.2578125,-0.13567698124281866
0.2734375,-0.1425032636486056
0.2890625,-0.14922544676895252
0.3046875,-0.15581626774497748
0.3203125,-0.1622405049241528
0.3359375,-0.16845493754282279
0.3515625,-0.1744084078034408
0.3671875,-0.1800420108035856
0.3828125,-0.18528943486177027
0.3984375,-0.19007747164021377
0.4140625,-0.19432670920178174
0.4296875,-0.19795241424818993
0.4453125,-0.20086559949128432
0.4609375,-0.20297426113166392
0.4765625,-0.20418475723744697
0.4921875,-0.20440328344665298
0.5078125,-0.20353738569371982
0.5234375,-0.20149743386737334
0.5390625,-0.19819796362033149
0.5546875,-0.19355877936437066
0.5703125,-0.18750569818538376
0.5859375,-0.1799708052724959
0.6015625,-0.17089208496842048
0.6171875,-0.16021229080023014
0.6328125,-0.14787692172766062
0.6484375,-0.1338311838126903
0.6640625,-0.11801583702800365
0.6796875,-0.1003618614603452
0.6953125,-0.08078393007377867
0.7109375,-0.059172756447274696
0.7265625,-0.035386506116919896
0.7421875,-0.00924163475518819
0.7578125,0.019496239417093407
0.7734375,0.051120494078599685
0.7890625,0.08598934150330392
0.8046875,0.12452750676906457
0.8203125,0.16722138464490893
0.8359375,0.21460485564795886
0.8515625,0.2672326998754268
0.8671875,0.32563872400725297
0.8828125,0.39027666623695695
0.8984375,0.4614436535417163
0.9140625,0.5391899799394271
0.9296875,0.6232202181406179
0.9453125,0.7128098280861228
0.9609375,0.8067134008662722
0.9765625,0.903269064373672
0.9921875,1.0000000000000002
