x,v_kraken
0,0
0.00390625,0.007300261033
0.01171875,0.02115217932
0.01953125,0.03426383453
0.02734375,0.0466455241
0.03515625,0.05831012653
0.04296875,0.06927278946
0.05078125,0.07955056645
0.05859375,0.08916212529
0.06640625,0.09812746412
0.07421875,0.1064676408
0.08203125,0.1142045182
0.08984375,0.121360525
0.09765625,0.1279584327
0.10546875,0.1340211482
0.11328125,0.1395715254
0.12109375,0.1446321913
0.12890625,0.1492253924
0.13671875,0.1533728559
0.14453125,0.1570956702
0.15234375,0.1604141803
0.16015625,0.1633479013
0.16796875,0.1659154459
0.17578125,0.1681344685
0.18359375,0.1700216214
0.19140625,0.1715925258
0.19921875,0.1728617533
0.20703125,0.1738428196
0.21484375,0.1745481874
0.22265625,0.1749892779
0.23046875,0.1751764908
0.23828125,0.1751192301
0.24609375,0.1748259362
0.25390625,0.1743041225
0.26171875,0.1735604161
0.26953125,0.1726006009
0.27734375,0.171429664
0.28515625,0.1700518428
0.29296875,0.168470674
0.30078125,0.1666890426
0.30859375,0.1647092309
0.31640625,0.1625329683
0.32421875,0.1601614793
0.33203125,0.1575955314
0.33984375,0.1548354827
0.34765625,0.1518813272
0.35546875,0.1487327405
0.36328125,0.1453891236
0.37109375,0.1418496458
0.37890625,0.1381132877
0.38671875,0.1341788823
0.39453125,0.1300451559
0.40234375,0.1257107694
0.41015625,0.1211743579
0.41796875,0.1164345721
0.42578125,0.1114901181
0.43359375,0.1063397992
0.44140625,0.1009825577
0.44921875,0.09541751732
0.45703125,0.08964402777
0.46484375,0.08366170973
0.47265625,0.07747050198
0.48046875,0.07107071028
0.48828125,0.06446305818
0.49609375,0.05764874007
0.50390625,0.0506294765
0.51171875,0.043407572
0.51953125,0.03598597533
0.52734375,0.02836834286
0.53515625,0.02055910415
0.54296875,0.01256352439
0.55078125,0.004387808731
0.55859375,-0.003960727918
0.56640625,-0.0124720683
0.57421875,-0.0211385251
0.58203125,-0.02995128353
0.58984375,-0.0389000541
0.59765625,-0.04797303728
0.60546875,-0.05715685935
0.61328125,-0.06643649824
0.62109375,-0.07579520939
0.62890625,-0.08521444876
0.63671875,-0.09467379484
0.64453125,-0.1041508716
0.65234375,-0.1136212743
0.66015625,-0.1230585014
0.66796875,-0.1324338931
0.67578125,-0.1417165826
0.68359375,-0.1508734607
0.69140625,-0.1598691581
0.69921875,-0.1686660509
0.70703125,-0.1772242917
0.71484375,-0.1855018715
0.72265625,-0.1934547184
0.73046875,-0.2010368363
0.73828125,-0.2082004903
0.74609375,-0.2148964431
0.75390625,-0.2210742464
0.76171875,-0.2266825935
0.76953125,-0.2316697339
0.77734375,-0.2359839548
0.78515625,-0.2395741285
0.79296875,-0.2423903267
0.80078125,-0.2443844976
0.80859375,-0.2455112007
0.81640625,-0.2457283923
0.82421875,-0.2449982491
0.83203125,-0.2432880164
0.83984375,-0.2405708631
0.84765625,-0.2368267219
0.85546875,-0.2320430912
0.86328125,-0.2262157724
0.87109375,-0.2193495134
0.87890625,-0.2114585314
0.88671875,-0.2025668848
0.89453125,-0.1927086705
0.90234375,-0.1819280212
0.91015625,-0.1702788905
0.91796875,-0.1578246107
0.92578125,-0.1446372268
0.93359375,-0.1307966101
0.94140625,-0.1163893724
0.94921875,-0.1015076051
0.95703125,-0.08624748091
0.96484375,-0.0707077518
0.97265625,-0.05498821738
0.98046875,-0.0391882942
0.98828125,-0.02340487165
0.99609375,-0.007731198465
1,0
