y,u_kraken
0,0
0.001953125,-0.008657257961
0.005859375,-0.02529344535
0.009765625,-0.04127124769
0.013671875,-0.05659874366
0.017578125,-0.07128504819
0.021484375,-0.08534010845
0.025390625,-0.09877702143
0.029296875,-0.1116129368
0.033203125,-0.1238695051
0.037109375,-0.1355727942
0.041015625,-0.1467527613
0.044921875,-0.1574424325
0.048828125,-0.1676768553
0.052734375,-0.1774918718
0.056640625,-0.1869230266
0.060546875,-0.1960043694
0.064453125,-0.2047673234
0.068359375,-0.2132399803
0.072265625,-0.2214465197
0.076171875,-0.2294066654
0.080078125,-0.2371353538
0.083984375,-0.244642559
0.087890625,-0.2519340363
0.091796875,-0.2590114232
0.095703125,-0.2658726173
0.099609375,-0.2725122555
0.103515625,-0.2789222655
0.107421875,-0.285092438
0.111328125,-0.2910109864
0.115234375,-0.2966650758
0.119140625,-0.3020413065
0.123046875,-0.307126146
0.126953125,-0.3119063068
0.130859375,-0.3163690707
0.134765625,-0.3205025621
0.138671875,-0.3242959741
0.142578125,-0.3277397533
0.146484375,-0.3308257464
0.150390625,-0.333547315
0.154296875,-0.3358994203
0.158203125,-0.3378786833
0.162109375,-0.3394834221
0.166015625,-0.3407136676
0.169921875,-0.341571161
0.173828125,-0.3420593331
0.177734375,-0.3421832669
0.181640625,-0.3419496457
0.185546875,-0.3413666911
0.189453125,-0.3404440988
0.193359375,-0.3391929824
0.197265625,-0.3376257069
0.201171875,-0.3357557802
0.205078125,-0.3335977323
0.208984375,-0.3311669877
0.212890625,-0.3284797296
0.216796875,-0.3255527588
0.220703125,-0.3224033489
0.224609375,-0.3190491003
0.228515625,-0.3155077949
0.232421875,-0.311797252
0.236328125,-0.3079351895
0.240234375,-0.3039390899
0.244140625,-0.2998260732
0.248046875,-0.2956127797
0.251953125,-0.2913152609
0.255859375,-0.2869488823
0.259765625,-0.282528238
0.263671875,-0.2780670782
0.267578125,-0.2735782505
0.271484375,-0.2690736588
0.275390625,-0.2645642373
0.279296875,-0.2600599432
0.283203125,-0.2555697237
0.287109375,-0.2511014915
0.291015625,-0.2466621532
0.294921875,-0.242257642
0.298828125,-0.2378929559
0.302734375,-0.2335721992
0.306640625,-0.2292986304
0.310546875,-0.2250747137
0.314453125,-0.2209021755
0.318359375,-0.2167820637
0.322265625,-0.2127148088
0.326171875,-0.2087002865
0.330078125,-0.2047378797
0.333984375,-0.2008265402
0.337890625,-0.1969648481
0.341796875,-0.1931510694
0.345703125,-0.1893832109
0.349609375,-0.1856590708
0.353515625,-0.1819762872
0.357421875,-0.1783323811
0.361328125,-0.1747247964
0.365234375,-0.1711509358
0.369140625,-0.1676081922
0.373046875,-0.164093977
0.376953125,-0.1606057451
0.380859375,-0.1571410177
0.384765625,-0.1536974035
0.388671875,-0.1502726198
0.392578125,-0.1468645068
0.396484375,-0.1434710356
0.400390625,-0.1400902766
0.404296875,-0.1367204108
0.408203125,-0.1333597331
0.412109375,-0.1300066576
0.416015625,-0.1266597188
0.419921875,-0.1233175698
0.423828125,-0.1199789792
0.427734375,-0.1166428259
0.431640625,-0.1133080953
0.435546875,-0.1099738746
0.439453125,-0.1066393494
0.443359375,-0.1033038013
0.447265625,-0.09996660275
0.451171875,-0.09662721172
