y,u_analytic,u_kraken
0.5,0.0007875,0.0009639149173125856
1.5,0.0022875,0.0028215469900170413
2.5,0.0036875000000000002,0.0045783156099504715
3.5,0.0049875,0.006234304889518862
4.5,0.0061875,0.00773205219428017
5.5,0.007287500000000001,0.009085327415551623
6.5,0.008287500000000001,0.01034426180877578
7.5,0.0091875,0.01148132576406495
8.5,0.0099875,0.012482526519342079
9.5,0.0106875,0.013356832632408801
10.5,0.011287500000000002,0.014110356792043342
11.5,0.0117875,0.01473684103647818
12.5,0.0121875,0.015240376485258464
13.5,0.0124875,0.015618794775720804
14.5,0.0126875,0.015870996300533683
15.5,0.012787500000000002,0.01599560908715547
16.5,0.0127875,0.01599384518888489
17.5,0.0126875,0.015866665612677966
18.5,0.0124875,0.015611248131209982
19.5,0.0121875,0.015223423082315172
20.5,0.011787500000000001,0.014721678969205622
21.5,0.0112875,0.014096648313170193
22.5,0.0106875,0.0133220926816167
23.5,0.0099875,0.012426427064844791
24.5,0.0091875,0.011474460270806692
25.5,0.0082875,0.01038766406414001
26.5,0.0072875,0.009160471991236957
27.5,0.0061875,0.007798402679171235
28.5,0.004987500000000001,0.006258816154748179
29.5,0.0036875,0.004601186888005639
30.5,0.0022875,0.002838483217510412
31.5,0.0007875,0.000972901460695328
