y_norm,ux_kraken,y_ghia,ux_ghia
0.00390625,-0.002984392827168062,0.0,0.0
0.01171875,-0.008807452160475019,0.0547,-0.03717
0.01953125,-0.014434439465879223,0.0625,-0.04192
0.02734375,-0.019881906026812966,0.0703,-0.04775
0.03515625,-0.025165277617762338,0.1016,-0.06434
0.04296875,-0.030299043280412098,0.1719,-0.1015
0.05078125,-0.0352968010979716,0.2813,-0.15662
0.05859375,-0.04017131490091288,0.4531,-0.2109
0.06640625,-0.04493456217438212,0.5,-0.20581
0.07421875,-0.049597776205876784,0.6172,-0.13641
0.08203125,-0.05417148248770338,0.7344,0.00332
0.08984375,-0.0586655297616664,0.8516,0.23151
0.09765625,-0.06308911601646647,0.9531,0.68717
0.10546875,-0.0674508097416763,0.9609,0.73722
0.11328125,-0.07175856672280685,0.9688,0.78871
0.12109375,-0.07601974265548293,0.9766,0.84123
0.12890625,-0.08024110184520358,1.0,1.0
0.13671875,-0.08442882225917356,,
0.14453125,-0.0885884971918104,,
0.15234375,-0.09272513381180573,,
0.16015625,-0.09684314885978623,,
0.16796875,-0.10094636177760763,,
0.17578125,-0.10503798555682059,,
0.18359375,-0.1091206156107233,,
0.19140625,-0.11319621698528144,,
0.19921875,-0.11726611024491278,,
0.20703125,-0.12133095638310394,,
0.21484375,-0.1253907411309486,,
0.22265625,-0.12944475905219835,,
0.23046875,-0.1334915978371568,,
0.23828125,-0.13752912322274438,,
0.24609375,-0.14155446498821372,,
0.25390625,-0.14556400448808957,,
0.26171875,-0.14955336420181256,,
0.26953125,-0.15351739978590923,,
0.27734375,-0.15745019512523642,,
0.28515625,-0.16134506087724168,,
0.29296875,-0.16519453700351716,,
0.30078125,-0.1689903997681363,,
0.30859375,-0.17272367366889962,,
0.31640625,-0.1763846487375328,,
0.32421875,-0.17996290361486833,,
0.33203125,-0.18344733475901148,,
0.33984375,-0.18682619209554166,,
0.34765625,-0.19008712135114175,,
0.35546875,-0.19321721324306793,,
0.36328125,-0.19620305960926013,,
0.37109375,-0.19903081647548235,,
0.37890625,-0.2016862739499472,,
0.38671875,-0.20415493273070798,,
0.39453125,-0.20642208689072428,,
0.40234375,-0.20847291248875896,,
0.41015625,-0.21029256142574185,,
0.41796875,-0.21186625984550903,,
0.42578125,-0.2131794102508869,,
0.43359375,-0.21421769639107807,,
0.44140625,-0.21496718985949229,,
0.44921875,-0.21541445724291808,,
0.45703125,-0.21554666656864085,,
0.46484375,-0.2153516917258829,,
0.47265625,-0.21481821347695376,,
0.48046875,-0.2139358156411362,,
0.48828125,-0.21269507501521615,,
0.49609375,-0.21108764360676469,,
0.50390625,-0.2091063217834746,,
0.51171875,-0.20674512100052778,,
0.51953125,-0.2039993148404045,,
0.52734375,-0.20086547720031656,,
0.53515625,-0.19734150657254626,,
0.54296875,-0.19342663549478648,,
0.55078125,-0.1891214243808813,,
0.55859375,-0.18442773908779245,,
0.56640625,-0.17934871171091246,,
0.57421875,-0.17388868423626547,,
0.58203125,-0.16805313479329234,,
0.58984375,-0.16184858635416177,,
0.59765625,-0.1552824977944024,,
0.60546875,-0.14836313727333286,,
0.61328125,-0.14109943789290638,,
0.62109375,-0.1335008355593878,,
0.62890625,-0.1255770888887094,,
0.63671875,-0.11733808087502073,,
0.64453125,-0.10879360187278278,,
0.65234375,-0.0999531132413349,,
0.66015625,-0.09082549076424429,,
0.66796875,-0.08141874670552553,,
0.67578125,-0.07173972910784686,,
0.68359375,-0.061793796704446416,,
0.69140625,-0.05158446762664385,,
0.69921875,-0.04111303998474419,,
0.70703125,-0.030378182418670227,,
0.71484375,-0.01937549291305814,,
0.72265625,-0.008097024606617952,,
0.73046875,0.0034692219285369376,,
0.73828125,0.015339839327999016,,
0.74609375,0.027536584776509988,,
0.75390625,0.04008697765029696,,
0.76171875,0.053024916220755725,,
0.76953125,0.06639130258838852,,
0.77734375,0.08023466060249952,,
0.78515625,0.09461172623173858,,
0.79296875,0.10958798367906324,,
0.80078125,0.1252381135183861,,
0.80859375,0.14164631139927245,,
0.81640625,0.15890642762660975,,
0.82421875,0.17712186952566206,,
0.83203125,0.19640520041549359,,
0.83984375,0.21687736189636825,,
0.84765625,0.23866644081116803,,
0.85546875,0.2619058996896494,,
0.86328125,0.28673219087798224,,
0.87109375,0.3132816812362457,,
0.87890625,0.3416868276379357,,
0.88671875,0.3720715649842954,,
0.89453125,0.404545899364102,,
0.90234375,0.43919974050016386,,
0.91015625,0.47609606044624736,,
0.91796875,0.5152635298804181,,
0.92578125,0.5566888587727233,,
0.93359375,0.6003091534215103,,
0.94140625,0.6460046947336202,,
0.94921875,0.6935926397763379,,
0.95703125,0.7428222503536693,,
0.96484375,0.7933723260648402,,
0.97265625,0.8448517862388318,,
0.98046875,0.8968030794444988,,
0.98828125,0.9487185935618239,,
0.99609375,1.0000000000000002,,
