x,y,T
1,1,0.9992680943451809
2,1,0.999289152417868
3,1,0.9993220632720247
4,1,0.9993657204933855
5,1,0.9994187051249942
6,1,0.9994793677074172
7,1,0.9995459178187176
8,1,0.9996165136504609
9,1,0.9996893450937347
10,1,0.9997627053945075
11,1,0.9998350483553362
12,1,0.9999050299970533
13,1,0.999971535291036
14,1,1.0000336918516166
15,1,1.0000908732384304
16,1,1.0001426947130132
17,1,1.0001890039018104
18,1,1.0002298678335715
19,1,1.0002655562850205
20,1,1.0002965194606996
21,1,1.0003233561832674
22,1,1.0003467677558797
23,1,1.0003674935274458
24,1,1.0003862279078541
25,1,1.0004035253614036
26,1,1.00041970848866
27,1,1.0004348016264335
28,1,1.0004485142490478
29,1,1.0004602913194118
30,1,1.0004694311540654
31,1,1.0004752494951998
32,1,1.000477249442784
33,1,1.0004752494952036
34,1,1.0004694311540723
35,1,1.0004602913194216
36,1,1.0004485142490607
37,1,1.0004348016264484
38,1,1.0004197084886755
39,1,1.0004035253614207
40,1,1.000386227907872
41,1,1.0003674935274653
42,1,1.0003467677559021
43,1,1.000323356183292
44,1,1.0002965194607283
45,1,1.000265556285054
46,1,1.0002298678336103
47,1,1.0001890039018546
48,1,1.0001426947130627
49,1,1.0000908732384854
50,1,1.0000336918516775
51,1,0.9999715352911023
52,1,0.9999050299971238
53,1,0.9998350483554099
54,1,0.9997627053945826
55,1,0.99968934509381
56,1,0.9996165136505345
57,1,0.9995459178187882
58,1,0.999479367707483
59,1,0.9994187051250532
60,1,0.9993657204934353
61,1,0.9993220632720643
62,1,0.9992891524178961
63,1,0.9992680943451971
64,1,0.9992596158905603
65,1,0.9992640188199713
66,1,0.9992811604994402
67,1,0.9993104627357787
68,1,0.9993509478691088
69,1,0.9994012984183084
70,1,0.9994599343686792
71,1,0.9995251008539717
72,1,0.9995949586555004
73,1,0.9996676705676599
74,1,0.999741478056366
75,1,0.9998147644666008
76,1,0.9998861029961947
77,1,0.9999542894605086
78,1,1.0000183613136449
79,1,1.00007760533094
80,1,1.0001315567196214
81,1,1.0001799921691465
82,1,1.0002229184617684
83,1,1.0002605567701977
84,1,1.0002933208408458
85,1,1.0003217853273814
86,1,1.000346639389347
87,1,1.0003686213951581
88,1,1.0003884342075196
89,1,1.0004066473899764
90,1,1.000423601544029
91,1,1.0004393377518606
92,1,1.0004535773702177
93,1,1.0004657704079498
94,1,1.000475213762988
95,1,1.0004812178945048
96,1,1.0004832805140897
97,1,1.0004812178945095
98,1,1.0004752137629962
99,1,1.000465770407961
100,1,1.000453577370232
101,1,1.000439337751877
102,1,1.0004236015440469
103,1,1.0004066473899953
104,1,1.0003884342075395
105,1,1.0003686213951795
106,1,1.0003466393893716
107,1,1.0003217853274093
108,1,1.000293320840878
109,1,1.0002605567702343
110,1,1.0002229184618103
111,1,1.0001799921691938
112,1,1.0001315567196745
113,1,1.0000776053309988
114,1,1.000018361313709
115,1,0.999954289460577
116,1,0.9998861029962668
117,1,0.9998147644666756
118,1,0.999741478056442
119,1,0.9996676705677356
120,1,0.9995949586555739
121,1,0.9995251008540414
122,1,0.9994599343687429
123,1,0.9994012984183642
124,1,0.9993509478691551
125,1,0.9993104627358149
126,1,0.999281160499464
127,1,0.9992640188199817
128,1,0.9992596158905572
1,2,0.8837260275593013
2,2,0.8844508112766036
3,2,0.8855972932463291
4,2,0.8871477060184925
5,2,0.8890788337129205
6,2,0.891362969410166
7,2,0.8939690001541617
8,2,0.8968635491306204
9,2,0.9000121097458118
10,2,0.9033801172021001
11,2,0.906933917293754
12,2,0.9106416066708396
13,2,0.9144737307218839
14,2,0.918403831442104
15,2,0.9224088351516522
16,2,0.9264692559902933
17,2,0.9305691641732602
18,2,0.9346958293726475
19,2,0.9388389062419426
20,2,0.9429889967019224
21,2,0.9471354282106369
22,2,0.9512631625226676
23,2,0.9553489262722912
24,2,0.9593569419592922
25,2,0.963234998703177
26,2,0.9669119372474388
27,2,0.9702977790761799
28,2,0.9732875413700098
29,2,0.9757691539928325
30,2,0.9776348922270434
31,2,0.9787946128229602
32,2,0.9791882237731601
33,2,0.9787946128237466
34,2,0.9776348922285767
35,2,0.9757691539950348
36,2,0.9732875413727795
37,2,0.9702977790794048
38,2,0.9669119372510079
39,2,0.9632349987069926
40,2,0.9593569419632731
41,2,0.9553489262763759
42,2,0.9512631625268123
43,2,0.947135428214812
44,2,0.9429889967061109
45,2,0.938838906246132
46,2,0.9346958293768275
47,2,0.9305691641774216
48,2,0.9264692559944244
49,2,0.9224088351557382
50,2,0.9184038314461267
51,2,0.9144737307258229
52,2,0.910641606674668
53,2,0.9069339172974429
54,2,0.9033801172056181
55,2,0.900012109749125
56,2,0.8968635491336937
57,2,0.8939690001569589
58,2,0.8913629694126518
59,2,0.8890788337150612
60,2,0.887147706020258
61,2,0.8855972932476924
62,2,0.8844508112775428
63,2,0.883726027559801
64,2,0.8834344995132991
65,2,0.8835810666069409
66,2,0.8841636364076322
67,2,0.8851732819507583
68,2,0.8865946425285105
69,2,0.8884065958320645
70,2,0.8905831495464984
71,2,0.8930944873883568
