y,u_analytic,u_kraken
0.5,0.001329436754498593,0.001707234941774533
1.5,0.0038095146625275497,0.004198267726394829
2.5,0.006056850639309185,0.006457654856871279
3.5,0.008078467801076078,0.008492626226803093
4.5,0.009881693735664604,0.010310776883275818
5.5,0.011474199857725234,0.011920130788840548
6.5,0.012864049855043138,0.013329227515768278
7.5,0.014059760439575695,0.014547245090910165
8.5,0.015070379236179312,0.015584183482823484
9.5,0.015905587384005698,0.016451157649837567
10.5,0.01657583934468573,0.017160907478110173
11.5,0.017092561904247065,0.017728790131564625
12.5,0.017468454512170318,0.018175025602276833
13.5,0.01771798194535325,0.018531007323687086
14.5,0.017858294760006804,0.01886454321320656
15.5,0.017911426523996757,0.019505815971227674
16.5,0.017911426523996757,0.019505815971227587
17.5,0.017858294760006804,0.018864543213206554
18.5,0.01771798194535325,0.018531007323687114
19.5,0.017468454512170318,0.018175025602276764
20.5,0.017092561904247065,0.017728790131564576
21.5,0.01657583934468573,0.017160907478110096
22.5,0.015905587384005698,0.016451157649837497
23.5,0.015070379236179312,0.015584183482823429
24.5,0.014059760439575695,0.014547245090910169
25.5,0.012864049855043138,0.013329227515768288
26.5,0.011474199857725234,0.011920130788840534
27.5,0.009881693735664604,0.010310776883275793
28.5,0.008078467801076078,0.008492626226803059
29.5,0.006056850639309185,0.0064576548568712165
30.5,0.0038095146625275497,0.004198267726394829
31.5,0.001329436754498593,0.001707234941774533
