y_over_H,T_analytic,T_kraken
0.016129032258064516,0.9838709677419355,0.9677119620576637
0.04838709677419355,0.9516129032258065,0.9354274587961179
0.08064516129032258,0.9193548387096774,0.9031463342062275
0.11290322580645161,0.8870967741935484,0.8708684252361137
0.14516129032258066,0.8548387096774194,0.8385935760845641
0.1774193548387097,0.8225806451612903,0.8063216238722689
0.20967741935483872,0.7903225806451613,0.7740524129478585
0.24193548387096775,0.7580645161290323,0.7417857805694109
0.27419354838709675,0.7258064516129032,0.7095215712110635
0.3064516129032258,0.6935483870967742,0.677259622248731
0.3387096774193548,0.6612903225806452,0.6449997782649545
0.3709677419354839,0.6290322580645161,0.6127418767372715
0.4032258064516129,0.5967741935483871,0.5804857623410548
0.43548387096774194,0.564516129032258,0.5482312726399453
0.46774193548387094,0.532258064516129,0.5159782523868794
0.5,0.5,0.48372653921620967
0.532258064516129,0.467741935483871,0.4514759779432105
0.5645161290322581,0.4354838709677419,0.41922640625755053
0.5967741935483871,0.4032258064516129,0.3869776690215938
0.6290322580645161,0.3709677419354839,0.35472960396489417
0.6612903225806451,0.33870967741935487,0.32248205598160606
0.6935483870967742,0.30645161290322576,0.2902348628256679
0.7258064516129032,0.27419354838709675,0.25798786940761775
0.7580645161290323,0.24193548387096775,0.22574091349008488
0.7903225806451613,0.20967741935483875,0.19349383998421416
0.8225806451612904,0.17741935483870963,0.16124648664488214
0.8548387096774194,0.14516129032258063,0.12899869836648498
0.8870967741935484,0.11290322580645162,0.09675031287633304
0.9193548387096774,0.08064516129032262,0.06450117502747679
0.9516129032258065,0.048387096774193505,0.03225112248423393
