x_R,L2_diff_tau_xx,max_diff_tau_xx,L2_diff_ux,max_diff_ux
2.26275,2.05326,15.6755,0.0483337,0.0960888
2.30588,2.31862,17.4552,0.0466218,0.0948226
2.34902,2.08224,15.0311,0.0455887,0.0859968
2.39216,2.10766,14.9725,0.0445864,0.0815207
2.43529,2.10625,15.3207,0.0438795,0.0782713
2.47843,1.85101,14.3131,0.04318,0.0756068
2.52157,1.96575,13.916,0.0419286,0.0742814
2.56471,1.93528,13.8812,0.0408002,0.0739474
2.60784,1.73633,13.3163,0.0399624,0.0736279
2.65098,1.79721,12.9644,0.0390541,0.0729944
2.69412,1.77722,12.726,0.0385158,0.0721375
2.73725,1.66806,12.5123,0.0382049,0.0714631
2.78039,1.63273,12.2209,0.0375295,0.0711876
2.82353,1.6317,11.8875,0.0367154,0.0709885
2.86667,1.57863,11.6131,0.0362718,0.0706147
2.9098,1.47693,11.3659,0.0360327,0.0699883
2.95294,1.47905,11.0624,0.0356287,0.0693464
2.99608,1.46587,10.7745,0.0351238,0.0689485
3.03922,1.42633,10.5218,0.0347604,0.0688307
3.08235,1.34829,10.2891,0.0346044,0.0684718
3.12549,1.32951,10.0518,0.0346317,0.0679844
3.16863,1.32147,9.81931,0.0348212,0.067486
3.21176,1.29065,9.60591,0.0351484,0.0671243
3.2549,1.24519,9.35165,0.0336192,0.0669512
3.29804,1.16499,9.08744,0.0333741,0.0667092
3.34118,1.17411,8.80384,0.033145,0.0663366
3.38431,1.15823,8.58117,0.0329854,0.0658775
3.42745,1.12813,8.38437,0.0328764,0.0654618
3.47059,1.0819,8.18527,0.0327769,0.0651778
3.51373,1.02634,7.97403,0.032609,0.0650349
3.55686,1.03303,7.73209,0.0324139,0.0647926
3.6,1.01473,7.52344,0.0322403,0.0644347
3.64314,0.987999,7.34228,0.0321203,0.0639971
3.68627,0.950302,7.17126,0.0320406,0.0635924
3.72941,0.89687,7.00892,0.0319577,0.0633037
3.77255,0.904157,6.79858,0.031846,0.0631582
3.81569,0.888659,6.6039,0.0317532,0.0630098
3.85882,0.866836,6.4291,0.0316698,0.0626876
3.90196,0.839089,6.27314,0.0316131,0.0622936
3.9451,0.79183,6.13243,0.0315683,0.0618772
3.98824,0.78659,5.98726,0.0314847,0.0615339
4.03137,0.777057,5.8527,0.0314299,0.061311
4.07451,0.757968,5.73077,0.0313874,0.0612116
4.11765,0.737769,5.61899,0.0313586,0.0610315
4.16078,0.71826,5.51655,0.0313469,0.0607522
4.20392,0.672943,5.25112,0.0310539,0.060383
4.24706,0.671343,5.07539,0.0309463,0.059999
4.2902,0.662595,4.9322,0.0308804,0.0596811
4.33333,0.647932,4.8089,0.0308499,0.0594725
4.37647,0.630816,4.69824,0.0308242,0.0593864
