field,L2_rel,max_abs,ref_L2,n_valid
tau_xy,0.6878649577,63.64192096,2.612391832,29825
uy,0.1901800434,1.202854285,0.2673015418,29825
tau_xx,0.9219186166,518.9107415,16.97676693,29825
tau_yy,0.3475612234,19.73537083,2.512311686,29825
ux,0.1717311767,6.181609458,1.231747451,29825
