timestamp,backend,FT,R,Wi,Re_R,beta,bsd_fraction,L_up,L_down,embedded_gradient,embedded_advection,embedded_force,embedded_drag,embedded_geometry,advection_scheme,u_mean,nu_total,nu_s,nu_p,lambda,max_steps,avg_window,polymer_substeps_used,completed_steps,Cd_kraken,Cd_s,Cd_p,Cd_bsd,min_det_C,min_c_eig,u_max_abs,tau_xx_max_abs,tau_xy_max_abs,tau_yy_max_abs,trace_C_max,trace_C_mean,N1_max_abs,N1_mean_abs,first_nonfinite_step,first_nonfinite_field,nan_flag,walltime_s,MLUPS
2026-05-31T12:17:31.789,cuda,Float64,50,0.1,1,0.59,1,15,15,0,0,0,0,qwall,muscl_superbee,0.003,0.15,0.0885,0.0615,1666.666666666667,300000,60000,2,300000,130.6363891387901,129.9960912062753,7.541715393224668,6.901417460709879,0.7253363143529136,0.5060138482489303,0.008808415828593735,0.0001301983745948293,6.018649604613568e-05,7.47319957305241e-05,5.482080279049693,2.043505149580572,0.000135897210931796,2.452731109123282e-06,0,none,false,174.6285569667816,515.3796238327736
2026-05-31T12:20:27.213,cuda,Float64,50,0.5,1,0.59,1,15,15,0,0,0,0,qwall,muscl_superbee,0.003,0.15,0.0885,0.0615,8333.333333333334,300000,60000,8,300000,NaN,NaN,NaN,NaN,Inf,NaN,NaN,NaN,NaN,NaN,-Inf,NaN,0,NaN,0,none,true,226.5232830047607,397.3101519904623
2026-05-31T12:24:13.757,cuda,Float64,50,1,1,0.59,1,15,15,0,0,0,0,qwall,muscl_superbee,0.003,0.15,0.0885,0.0615,16666.66666666667,300000,60000,15,300000,NaN,NaN,NaN,NaN,Inf,NaN,NaN,NaN,NaN,NaN,-Inf,NaN,0,NaN,0,none,true,306.7348818778992,293.4129938173317
