timestamp,backend,FT,R,Wi,Re_R,beta,bsd_fraction,L_up,L_down,embedded_gradient,embedded_advection,embedded_force,embedded_drag,embedded_geometry,advection_scheme,u_mean,nu_total,nu_s,nu_p,lambda,max_steps,avg_window,polymer_substeps_used,completed_steps,Cd_kraken,Cd_s,Cd_p,Cd_bsd,min_det_C,min_c_eig,u_max_abs,tau_xx_max_abs,tau_xy_max_abs,tau_yy_max_abs,trace_C_max,trace_C_mean,N1_max_abs,N1_mean_abs,first_nonfinite_step,first_nonfinite_field,nan_flag,walltime_s,MLUPS
2026-05-31T12:35:48.069,cuda,Float64,30,0.1,1,0.59,1,15,15,0,0,0,0,qwall,muscl_superbee,0.005,0.15,0.0885,0.0615,600,300000,60000,2,300000,132.0320237001579,131.5900779602922,7.641062101609061,7.199116361743326,0.7037489864975728,0.5203032389663966,0.01466955807267725,0.0002844918106639576,0.0001406528348112375,0.0001542476986495686,4.651090076998732,2.042863176958635,0.0003065067578512087,6.761411145276019e-06,0,none,false,105.4672608375549,307.2043375612441
2026-05-31T12:37:34.533,cuda,Float64,30,0.5,1,0.59,1,15,15,0,0,0,0,qwall,muscl_superbee,0.005,0.15,0.0885,0.0615,3000,300000,60000,8,300000,113.5501978443289,107.3778299716968,13.08137538125998,6.909007508627862,0.9302184240604409,0.2275614979237908,0.01488150236284165,0.001270071617136792,0.0004710407457536441,0.0004137328713626486,63.92297232773623,2.936089303447135,0.001270722301554991,1.825909929608471e-05,0,none,false,111.2467749118805,291.2443981020062
2026-05-31T12:39:25.809,cuda,Float64,30,1,1,0.59,1,15,15,0,0,0,0,qwall,muscl_superbee,0.005,0.15,0.0885,0.0615,6000,300000,60000,15,300000,117.2788017028128,102.4519798145796,20.2481664974643,5.421344609231167,0.9193254759526093,0.1131744422166392,0.01491032367382932,0.002635139923835129,0.0007795634611681629,0.00105235109014019,276.5395876311022,5.594740899391831,0.002456249074451462,3.361363596001874e-05,0,none,false,151.6301250457764,213.6778558364877
