wi,n,beta,max_u,max_p,max_tauxx,max_tauxy,max_tauyy,max_psixx,max_N1,avg_u,avg_p,avg_tauxx,avg_tauxy,avg_tauyy,avg_psixx,avg_N1,min_det_C,first_nonfinite_step,R2_psi_xx_stag_vs_analytic,R2_centerline_u,R2_centerline_p,R2_centerline_tauxx,R2_centerline_tauxy,convergence_p,status
0.3,64,0.8,1,0.04618051986,0.8441403752,0.04877532392,0.8441403752,0.818109081,1.092280431,0.6774290696,0.01512026773,0.1682831974,0.0200710056,0.1682831974,0.2283269637,0.3365254965,1,-1,0.9987491688,1,-1186.204248,0.9975207259,0.9981348122,0.4123984908,FAIL
0.3,96,0.8,1,0.1253307408,0.8526976701,0.05003437384,0.8526976701,0.823757156,1.101130423,0.6774599274,0.04592093113,0.169851324,0.02050414688,0.169851324,0.230034635,0.3395633883,1,-1,0.9995220307,0.9999999522,-6.054150203,0.999529069,0.9998163909,0.4123984908,FAIL
0.3,128,0.8,1,0.248181127,0.856583492,0.05055404624,0.856583492,0.8263114224,1.105322223,0.6774674411,0.09582759527,0.1706083032,0.02068620729,0.1706083032,0.2308579297,0.3411402218,1,-1,0.9997646799,NaN,NaN,NaN,NaN,0.4123984908,FAIL
0.3,32,0.9,1,0.03497999478,0.403895979,0.02254162803,0.403895979,0.7937559964,0.5271839817,0.6771225633,0.01198478089,0.08173751595,0.009322285116,0.08173751595,0.2230414603,0.1634399858,1,-1,0.9897772632,1,-406.8991251,0.9790362414,0.9805102784,0.4648370091,FAIL
0.3,64,0.9,1,0.0558480354,0.4220701876,0.02438766196,0.4220701876,0.818109081,0.5461402154,0.6774290696,0.02001548144,0.08414159871,0.0100355028,0.08414159871,0.2283269637,0.1682627482,1,-1,0.9987491688,1,-114.8564407,0.9975207259,0.9981348122,0.4648370091,FAIL
0.3,96,0.9,1,0.1356876855,0.4263488351,0.02501718692,0.4263488351,0.823757156,0.5505652114,0.6774599274,0.05154240839,0.08492566201,0.01025207344,0.08492566201,0.230034635,0.1697816941,1,-1,0.9995220307,0.9999999522,-3.136230456,0.999529069,0.9998163909,0.4648370091,FAIL
0.3,128,0.9,1,0.2584570996,0.428291746,0.02527702312,0.428291746,0.8263114224,0.5526611117,0.6774674411,0.1016271818,0.0853041516,0.01034310364,0.0853041516,0.2308579297,0.1705701109,1,-1,0.9997646799,NaN,NaN,NaN,NaN,0.4648370091,FAIL
0.5,32,0.59,1,0.1180077163,2.987565733,0.1363950649,2.987565733,1.535441008,3.391402178,0.6771225633,0.02668674903,0.3738115894,0.05469191863,0.3738115894,0.3531997622,0.7454728412,1,-1,NaN,1,0.830852044,0.9122698036,0.9728878592,-0.7600675292,FAIL
0.5,64,0.59,1,0.1173438787,3.566728598,0.1476065106,3.566728598,1.677034694,3.973721795,0.6774290696,0.02511330772,0.3977256568,0.06102494205,0.3977256568,0.3659574604,0.7933963711,1,-1,NaN,1,0.9468140621,0.9912366981,0.9977409275,-0.7600675292,FAIL
0.5,96,0.59,1,0.1721899336,3.782497809,0.1518753127,3.782497809,1.725050097,4.190372961,0.6774599274,0.04354428365,0.4056171231,0.06273562491,0.4056171231,0.3698391508,0.809008151,1,-1,NaN,0.9999999522,-1.712198971,0.9991557808,0.9998163081,-0.7600675292,FAIL
0.5,128,0.59,1,0.1302099094,3.887020443,0.1537821826,3.887020443,1.747506044,4.295092847,0.6774674411,0.02931590306,0.4095214715,0.06352274408,0.4095214715,0.3716541409,0.8168212824,1,-1,NaN,NaN,NaN,NaN,NaN,-0.7600675292,FAIL
0.5,32,0.8,1,0.06411950967,1.457349138,0.06653417798,1.457349138,1.535441008,1.654342526,0.6771225633,0.01550465425,0.1823471168,0.0266789847,0.1823471168,0.3531997622,0.3636452884,1,-1,NaN,1,-4.18282414,0.9122698036,0.9728878592,-0.2799072724,FAIL
0.5,64,0.8,1,0.07631262291,1.739867609,0.07200317591,1.739867609,1.677034694,1.938400875,0.6774290696,0.0186769829,0.1940125155,0.02976826442,0.1940125155,0.3659574604,0.38702262,1,-1,NaN,1,-1.575805727,0.9912366981,0.9977409275,-0.2799072724,FAIL
0.5,96,0.8,1,0.1376963914,1.845120883,0.07408551838,1.845120883,1.725050097,2.044084371,0.6774599274,0.04156438291,0.1978620113,0.03060274386,0.1978620113,0.3698391508,0.3946381224,1,-1,NaN,0.9999999522,-0.7408639544,0.9991557808,0.9998163081,-0.2799072724,FAIL
